In/H1,H1/H2,H2/Out,Graph
-0.41864923,0.19133042,0.38618115,
-0.28147173,0.80206597,0.6312399,
-0.23846376,-0.47509146,-0.046910316,
-0.67686516,-0.035843015,0.9845658,
-0.72396433,-0.6221071,0.45728266,
-0.14745614,-0.20035177,-0.22922146,
0.8234399,0.15652418,0.62679213,
0.700804,-0.7664232,-0.13590264,
0.180803,0.6450269,0.15800548,
1.0,-0.11437589,0.6241192,
0.915468,-0.77685624,0.27159917,
0.31666213,-0.17247796,0.57452714,
0.5207064,-0.8193153,0.20282267,
-0.6516402,-0.30253744,-0.116289616,
0.16014344,0.34145984,-0.70268357,
-0.19971702,-0.840094,0.561057,
0.1357018,0.7976222,-0.28585052,
0.5500845,-0.48398498,-0.4955783,
-0.23001117,0.9191146,0.40837014,
-0.6135676,0.4388935,0.045279145,
-0.08370641,-0.9858489,-0.7378018,
-0.545552,0.41668463,0.13348818,
0.19970453,-0.97031784,-0.84718895,
0.11092412,-0.1959709,0.35167217,
-0.25028324,0.12412584,-0.46829808,
-0.6199994,-0.65417516,-0.23889855,
0.47878712,0.27169564,0.47753543,
0.44065928,-0.0803192,-0.79059565,
-0.7315515,-0.85219693,,
-0.88730466,0.562586,,
1.0,-0.6311489,,
0.64037263,-0.55435354,,
-0.8392079,-0.35527635,,
-0.27291167,0.68823075,,
0.6122254,-0.9409379,,
0.6102856,-0.91015255,,
-0.34321514,-0.88334453,,
1.0,-0.8206857,,
-0.92435765,0.22882415,,
0.8013134,-0.30848348,,
-0.91292393,-0.14373589,,
0.0136624575,0.4736796,,
0.8065269,1.0,,
0.99873793,-0.9583312,,
-0.3087113,0.13685997,,
-0.18924059,-0.886738,,
-0.33285266,-0.8046117,,
-1.0,-0.55223185,,
-0.28017938,-0.6013131,,
-0.549521,-0.575315,,
-0.79861164,-0.48996323,,
0.7871805,0.9624512,,
0.35162652,1.0,,
-0.02069518,0.41972286,,
0.16529405,0.9760779,,
-0.6690349,0.008341312,,
0.78986937,-0.5733932,,
0.9763338,0.281886,,
-0.32146493,-1.0,,
0.34239998,-0.60831594,,
0.8813261,1.0,,
-0.73717755,0.586988,,
0.35378706,0.95129,,
0.7707769,-0.28711426,,
0.31581113,1.0,,
-0.6900097,-0.2499719,,
0.9285647,0.30958575,,
0.2839579,0.0521003,,
0.9768768,0.26800585,,
-0.7925744,0.8699458,,
-0.71627414,0.41198748,,
-0.71397007,-0.9808222,,
-0.9022609,-0.22847629,,
0.056733936,0.85126686,,
0.17690322,-0.7661369,,
0.9766804,-0.14289428,,
0.877223,-0.8513637,,
-0.2298329,-0.2737192,,
-0.7037609,-0.6578994,,
-0.7825645,0.8914236,,
1.0,-0.7481438,,
0.52853405,0.49761415,,
-0.19413337,-0.047385827,,
0.373288,-0.41876256,,
-0.5379851,0.9761265,,
-0.9392425,-0.7845715,,
0.5904994,-0.8963679,,
-0.11614156,0.27439648,,
-0.3312619,-0.8929471,,
-0.0061082244,-0.15074575,,
-0.7769213,0.98209214,,
-0.58773977,0.56043386,,
-1.0,-0.89776313,,
-0.28110835,-0.02604188,,
-0.7987221,0.11437793,,
-0.0027550906,0.691078,,
0.51952565,-0.8681271,,
-0.0072798203,0.084724426,,
0.8953005,-0.44544324,,
-0.5178857,-0.80617505,,
-0.025114417,0.17027009,,
-0.88796896,-0.24461107,,
-0.053903773,0.82282245,,
0.20144713,0.8473933,,
