In/H1,H1/H2,H2/Out,Graph
-0.3183224,-0.9183688,-0.047109667,
-0.5657166,0.7710628,0.2176789,
-0.48899737,0.21753073,0.7535042,
-0.30728245,-0.28888345,-0.32459438,
-0.20969617,-0.68580484,,
-0.17439476,-0.89417183,,
-0.92598915,0.93578005,,
-1.0,0.7389407,,
0.3121435,-0.61929643,,
0.17461047,-0.43157315,,
-0.719347,-0.036733866,,
0.81183314,0.16790089,,
0.23288941,0.11741173,,
-0.634264,-0.043206926,,
0.8426087,-0.37482107,,
-0.33474335,0.93905723,,
0.472711,0.71535695,,
0.619763,-0.2672398,,
0.3650345,-0.33753163,,
0.08273226,-0.7883828,,
0.13910505,-0.720155,,
0.04853499,0.842412,,
-0.37393236,0.7855915,,
0.025488853,-0.1351161,,
-0.9192351,0.0019568205,,
0.5368078,-0.6847434,,
0.8298711,-1.0,,
0.69634545,0.5671047,,
-0.04359314,-0.2507379,,
0.5876699,-0.4804956,,
-0.5024195,0.8865075,,
-1.0,-0.46078414,,
-0.26718247,-0.34302068,,
-0.8182775,0.4832878,,
0.26298034,-0.8111311,,
0.5534315,0.21555117,,
-0.5095042,-0.9394117,,
0.21065906,-0.32411715,,
0.72480845,0.9948474,,
-0.7630538,-0.35818684,,
0.9172553,-0.50235546,,
-0.04203252,0.26784813,,
-0.28311074,0.12664497,,
0.7436252,-0.7467594,,
0.6096661,0.34188363,,
-0.72653353,-0.25565064,,
-1.0,0.41633153,,
-0.73668563,-0.36985683,,
0.11648595,0.28833914,,
-0.96444875,-0.31010604,,
-0.75462997,0.32764745,,
0.634241,0.026667833,,
0.75298154,0.64106417,,
0.6829264,0.721179,,
0.019054428,0.97512007,,
0.36165392,-0.5978148,,
-0.13069563,0.97786903,,
0.7951474,-0.52642775,,
0.02797173,0.6152321,,
0.1405381,-9.0003014E-4,,
0.35105717,-1.0,,
-0.70253074,-1.0,,
-0.10465106,0.5999961,,
-0.56646323,-0.6664769,,
-0.2903667,-0.8159487,,
0.18696785,-0.52243453,,
-0.28726923,0.14921927,,
-0.5679555,0.9572781,,
-0.074689545,0.8526295,,
-1.0,0.12873572,,
0.6154835,-0.32060748,,
0.9770152,0.07937971,,
0.2959757,-0.059871346,,
-0.33166447,0.72271883,,
-0.56674373,-0.08051422,,
-0.23730266,-0.004786521,,
-0.33306465,0.84499407,,
0.41316956,-0.8342569,,
0.5069078,-0.26789492,,
-0.4762596,-0.33393276,,
0.10843587,-0.4938652,,
0.40865102,-0.6526284,,
0.7075746,-0.5652995,,
-0.8435717,0.2625466,,
-0.7073051,-0.3159162,,
0.088260844,0.1504971,,
-0.16038138,0.14257932,,
-0.8077315,0.7483176,,
0.27806795,0.24131715,,
-0.0101659,0.94999075,,
1.0,-0.26476765,,
-0.31013846,1.0,,
-0.2846185,0.31434262,,
0.032014713,0.0655872,,
-0.36077547,0.17711687,,
-0.7335842,-0.8088137,,
0.016824603,-0.21857634,,
-0.82582474,1.0,,
0.97524965,0.81156605,,
0.24717021,0.31386745,,
0.24164753,-0.9863988,,
0.65308094,-0.9640519,,
-0.57960784,0.28250074,,
0.4816702,0.05248189,,
-0.75531775,-0.091754556,,
0.6926365,0.24446619,,
0.7097982,0.54334867,,
0.2075119,0.24204114,,
-0.5258733,0.8746524,,
0.06803417,0.49322656,,
-0.58796567,0.91500306,,
0.7318567,0.30501473,,
