In/H1,H1/H2,H2/Out,Graph
-0.43296885,0.5274743,,
-1.0,-0.044683512,,
-0.117408454,-0.7809782,,
-0.54951036,-0.8420315,,
-0.94677657,-0.9398606,,
-0.43924814,0.5033687,,
-0.8517693,-0.16481388,,
0.7601849,0.48228776,,
0.8425209,-0.12552662,,
-0.6146251,-0.15706766,,
-0.1087836,0.63313746,,
-0.73244655,0.20287463,,
-0.14871095,-0.59488964,,
-1.0,0.9035876,,
0.057989478,-0.44236442,,
0.42521155,-0.04686536,,
-0.48122475,1.0,,
0.66454107,1.0,,
0.99183017,0.20397195,,
0.5898489,-0.22448467,,
0.26451764,0.98277766,,
0.47056594,0.6085291,,
0.7618473,0.11808896,,
-0.45648536,0.97901297,,
0.88322103,-0.21847594,,
0.60814977,-0.14882094,,
0.37316164,0.028243082,,
1.0,0.46423864,,
-0.031893373,-0.4073649,,
0.4661692,-0.8026935,,
0.43330178,-0.24399203,,
0.16171765,-0.71793246,,
0.49898708,-0.96044767,,
0.42823553,0.3104692,,
0.3668238,-0.7595576,,
0.546082,0.37243095,,
-0.94778764,0.041949198,,
-0.65213835,-0.22173095,,
0.025704443,-0.22133276,,
0.12132096,-0.46899992,,
0.44624227,-0.6345477,,
0.2827134,-0.94161546,,
-0.19656837,0.3066573,,
-0.32300538,0.45073032,,
0.12773523,0.24904944,,
0.582034,-0.9503946,,
0.9185999,-0.178511,,
-0.57004285,-0.42095697,,
-0.41119772,0.9633237,,
-0.5833576,-0.92730224,,
0.8576674,-0.21641728,,
-1.0,0.39916635,,
0.7529035,-0.21532522,,
0.6356517,-0.24721086,,
0.7127786,-0.43735737,,
-0.76257193,0.1681053,,
0.10572013,0.12088394,,
0.18971315,-0.99675107,,
0.8756558,0.41561365,,
0.80987614,-0.025494859,,
-0.9092083,-0.5632063,,
0.81166655,-0.2799368,,
0.76847833,-0.56551194,,
0.6836788,0.49564964,,
-0.2193261,-0.80134636,,
-0.371437,-1.0,,
0.98563457,0.61161655,,
-0.4943994,0.46585387,,
